"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
271875,"December 31, 2014",Maryland,"Capitol Heights","800 block of Balsamtree Drive",1,0,N/A
274821,"December 31, 2014",Missouri,"Kansas City","4200 block of Woodland Avenue",1,0,N/A
271892,"December 31, 2014",Florida,Miami,"69th Street and 6th Court",1,0,N/A
272130,"December 31, 2014",Mississippi,Nettleton,N/A,1,0,N/A
272942,"December 31, 2014",Colorado,Denver,"East Fifth Avenue and Alton Way",1,0,N/A
272863,"December 31, 2014",Maryland,"Capitol Heights (Fairmount Heights)","800 block of Balsamtree Dr",1,0,N/A
272444,"December 31, 2014",Kansas,"Overland Park","8300 block of Kessler",1,0,N/A
272439,"December 31, 2014",Montana,Missoula,"North Reserve Street and West Broadway",1,0,N/A
291511,"December 31, 2014",Virginia,Petersburg,"8000 block of Vaughan Rd",1,0,N/A
272207,"December 31, 2014",Texas,Dallas,"1500 block of Kingsley Dr.",1,0,N/A
271768,"December 31, 2014",Connecticut,Hartford,"1545 Main Street",1,0,N/A
276134,"December 31, 2014",Florida,Tallahassee,"Seminole Drive",1,1,N/A
271824,"December 31, 2014",Virginia,Petersburg,"2000 block of Ferndale Avenue",1,1,N/A
272878,"December 31, 2014",Missouri,"Kansas City","1303 E. 82nd Terrace",1,0,N/A
271719,"December 31, 2014",Virginia,Stuart,"Boaz Pond Ln",1,0,N/A
272346,"December 31, 2014",Ohio,Massillon,"1753 Oak Trail St NE",1,0,N/A
274918,"December 31, 2014",Alabama,Montgomery,"1700 block of Yarborough Street",1,0,N/A
271880,"December 31, 2014",Illinois,Chicago,"8000 Stony Island Ave",1,0,N/A
271932,"December 31, 2014",Ohio,Irondale,"Township Rd 242 and Austin Lake  Rd",1,0,N/A
272322,"December 31, 2014",Michigan,Detroit,"4000 block of University Place",2,0,N/A
271919,"December 31, 2014",California,"Los Angeles","81st Street and Western Avenue",1,2,N/A
272144,"December 31, 2014","North Carolina",Lumberton,"1300 block of Furman Drive",1,0,N/A
273436,"December 31, 2014",California,"Los Angeles","6100 block of Wilton Place",1,0,N/A
272006,"December 31, 2014",Kentucky,"Olive Hill","22544 W US-60",1,0,N/A
271756,"December 31, 2014",Kentucky,Louisville,"5100 block of Rangoon Way",1,0,N/A
271959,"December 31, 2014",Arizona,Mesa,"Alma School and Baseline Road",1,1,N/A
272538,"December 31, 2014",California,Fresno,"Elm and Jensen Avenue",1,1,N/A
271957,"December 31, 2014",Washington,Seattle,"Renton Avenue South and South Kenyon Street",1,0,N/A
272623,"December 31, 2014",Georgia,Temple,"Bryan Miller Rd",1,0,N/A
271863,"December 31, 2014",Florida,"Saint Petersburg","12000 Fourth St. N.",1,1,N/A
271766,"December 30, 2014",Connecticut,"New Britain","Yeaton St",1,0,N/A
272341,"December 30, 2014",Pennsylvania,"Upper Darby","Garrett Rd and Shadeland Ave",1,0,N/A
271710,"December 30, 2014",Virginia,Richmond,"5800 block of Orcutt Lane",1,0,N/A
271475,"December 30, 2014","New York",Brooklyn,"712 Chauncey Street",1,0,N/A
271040,"December 30, 2014",Indiana,Indianapolis,"800 block of North Lasalle Street",1,0,N/A
276683,"December 30, 2014",California,"Santa Maria","Jones Street and Bradley Road",1,0,N/A
272194,"December 30, 2014",Maryland,Baltimore,"3100 block of Greenmount Ave",1,0,N/A
272349,"December 30, 2014",Louisiana,Thibodaux,LA-20,1,0,N/A
271795,"December 30, 2014","New York",Danby,"127 Hornbrook Rd",1,0,N/A
271743,"December 30, 2014",Alabama,Dothan,"295 Jerry Dr",1,0,N/A
271694,"December 30, 2014",Wisconsin,Milwaukee,"4200 block of W. Nash St",1,0,N/A
271822,"December 30, 2014",Virginia,Petersburg,"Slagle Avenue",1,0,N/A
271436,"December 30, 2014","New Hampshire",Dover,"789 Central Avenue",2,0,N/A
342135,"December 30, 2014",Georgia,"Stone Mountain","Allgood Road",1,0,N/A
271076,"December 30, 2014",Georgia,Conyers,"Mill Crest Walk",1,0,N/A
271870,"December 30, 2014",Tennessee,Clinton,"2688 Dutch Valley Rd",1,0,N/A
271889,"December 30, 2014","New Jersey",Bridgeton,"Henry Street and South Avenue",1,0,N/A
271646,"December 30, 2014",Arizona,Tempe,"Rural Rd and Southern Ave",1,0,N/A
271090,"December 30, 2014",Idaho,Hayden,"550 W Honeysuckle Ave",1,0,N/A
271243,"December 30, 2014",Kentucky,Louisville,"3112 Dumensil St",1,0,N/A
271059,"December 30, 2014",Arkansas,Prescott,N/A,1,0,N/A
284562,"December 30, 2014",Florida,"West Palm Beach","2300 Caroma Lane",1,0,N/A
273042,"December 30, 2014",Alabama,Huntsville,"Bridge Road and Mountain Park Circle",1,0,N/A
271302,"December 30, 2014","North Carolina",Salemburg,"200 block of Lakewood School Rd",1,0,N/A
271267,"December 30, 2014",Texas,"San Antonio","7500 block of Windsor Oaks",1,0,N/A
