"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
739764,"December 31, 2016",Tennessee,Knoxville,"Highland View Drive",1,0,N/A
738899,"December 31, 2016",Florida,Pensacola,"3 Talladega Trail",1,1,N/A
739066,"December 31, 2016",Florida,Loxahatchee,"13289 Compton Rd",1,0,N/A
741322,"December 31, 2016",Florida,"Miami (Cutler Bay)","20549 Southwest 93rd Avenue",1,0,N/A
741777,"December 31, 2016",Florida,Kissimmee,"3000 Parkway Blvd",1,0,N/A
738771,"December 31, 2016",Texas,Houston,"4235 Oak Shadows",1,0,N/A
740875,"December 31, 2016",Ohio,"Newton Falls","Ridge Road",1,0,N/A
741718,"December 31, 2016",Texas,Houston,"6300 Block of Sherwood Dr",1,0,N/A
739639,"December 31, 2016",Pennsylvania,Erie,"Prospect Ave and June St",1,1,N/A
825045,"December 31, 2016",Oklahoma,Tulsa,"7700 S Lewis Ave",1,0,N/A
745128,"December 31, 2016",Oklahoma,"Oklahoma City","8300 block of 106th St",1,0,N/A
738686,"December 31, 2016","New York",Brooklyn,"2265 Bedford Ave",1,0,N/A
739691,"December 31, 2016",Missouri,"Kansas City","418 W 9th St",1,2,N/A
740447,"December 31, 2016",Georgia,"Lenox (El Dorado)","27 Briarwood Ct",2,2,N/A
739864,"December 31, 2016",Virginia,Portsmouth,"1500 block of Wilcox Avenue",1,0,N/A
742643,"December 31, 2016",Florida,Bryceville,"12000 block of CR 121",2,0,N/A
739098,"December 31, 2016",Louisiana,Shreveport,"4025 Golf Links Blvd",1,0,N/A
741580,"December 31, 2016",California,Antioch,"2301 Sycamore Dr",1,1,N/A
739081,"December 31, 2016",Ohio,Eaton,"1139 Preble Dr",1,0,N/A
739754,"December 31, 2016",Illinois,Aurora,"400 block of Melrose Avenue",1,0,N/A
738903,"December 31, 2016",Indiana,Indianapolis,"4006 Newburgh Dr",1,0,N/A
739107,"December 31, 2016",Minnesota,Mankato,"1900 Premier Dr",1,0,N/A
739734,"December 31, 2016",Arkansas,"Black Rock","188 Lawrence County Road 221",1,0,N/A
740719,"December 31, 2016",Oregon,"Grants Pass","Robertson Bridge Rd",1,0,N/A
738979,"December 31, 2016",Arizona,Phoenix,"6600 W Van Buren Street",1,0,N/A
740599,"December 31, 2016",Louisiana,Thibodaux,"Livas Lane and West Park Ave",1,0,N/A
772198,"December 31, 2016",Missouri,"Kansas City","E Gregory Blvd and College Ave",1,0,N/A
741409,"December 31, 2016",Tennessee,Murfreesboro,"2310 Memorial Blvd",1,0,N/A
740626,"December 31, 2016",Florida,Largo,"616 Rosery Rd",1,0,N/A
740552,"December 31, 2016",Michigan,Detroit,"11000 block of Minden St",1,1,N/A
743155,"December 31, 2016",Illinois,"Blue Island","14100 block of South Western Ave",1,1,N/A
739296,"December 31, 2016",Nebraska,Lincoln,"1523 Superior St",2,0,N/A
747691,"December 31, 2016",Maryland,Suitland,"3500 block of Silver Park Dr",1,0,N/A
739567,"December 31, 2016",Illinois,Joliet,"400 block of Grover",1,0,N/A
739466,"December 31, 2016",Pennsylvania,Greencastle,"400 block of W Baltimore St",1,0,N/A
