"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"43",218054,2014-11-07,"California","Los Angeles","East 126th Street and North Compton Avenue",0,4,"East 126th Street and North Compton Avenue, Los Angeles, California",-118.2462168,33.9184737
"44",216533,2014-11-05,"California","San Francisco","1100 block of Alabama Street",0,4,"1100 block of Alabama Street, San Francisco, California",-122.411139,37.7542822
"45",212884,2014-10-29,"Tennessee","Memphis","Yale Road and Ramill Road",0,5,"Yale Road and Ramill Road, Memphis, Tennessee",-89.927195,35.2205375
"46",211348,2014-10-26,"Kentucky","Cadiz","1410 Old Dover Road",4,0,"1410 Old Dover Road, Cadiz, Kentucky",-87.8496534,36.8291448
"47",210363,2014-10-24,"Washington","Marysville","5611 108th St NE",5,1,"5611 108th St NE, Marysville, Washington",-122.1539962,48.0957279
"48",209134,2014-10-18,"New York","Queens","33-02 Queens Blvd",0,4,"33-02 Queens Blvd, Queens, New York",-73.9311205,40.7442521
"49",207145,2014-10-18,"South Carolina","Graniteville","192 Breezy Hill Road",1,3,"192 Breezy Hill Road, Graniteville, South Carolina",-81.8431145,33.5663297
"50",207687,2014-10-18,"New York","Brooklyn","Lenox Road",0,4,"Lenox Road, Brooklyn, New York",-73.9384664,40.6548627
"51",206303,2014-10-16,"Michigan","Detroit","Mogul Street",1,3,"Mogul Street, Detroit, Michigan",-82.9621522,42.4167375
"52",205726,2014-10-14,"Georgia","Peachtree Corners","6505 Bannor Lane",3,2,"6505 Bannor Lane, Peachtree Corners, Georgia",-84.2512157,33.9504971
"53",205298,2014-10-13,"Georgia","Atlanta","85 Mount Zion Road",0,4,"85 Mount Zion Road, Atlanta, Georgia",-84.3910401,33.6732557
"54",204310,2014-10-12,"California","Stockton","1100 block of East March Lane",3,1,"1100 block of East March Lane, Stockton, California",-121.2924994,38.0013339
