"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
476351,"December 31, 2015",Massachusetts,"New Bedford","Pleasant Street",1,0,N/A
476809,"December 31, 2015",Washington,Woodland,"143 Whalen Road",1,0,N/A
477966,"December 31, 2015",Illinois,"East Saint Louis","1607 Wilfred Ave",1,0,N/A
476473,"December 31, 2015",California,Compton,"15600 block of South Washington Avenue",1,0,N/A
476492,"December 31, 2015","New Jersey",Newark,"Camden St and 13th Ave",1,0,N/A
476740,"December 31, 2015","South Carolina",Gaffney,N/A,1,0,N/A
478425,"December 31, 2015",California,Wasco,"1000 block of 16th Street",1,0,N/A
476083,"December 31, 2015",Mississippi,"Rolling Fork","68 Frontage Road",1,0,N/A
476183,"December 31, 2015","West Virginia",Charleston,"935 Central Avenue",1,0,N/A
479130,"December 31, 2015",Alabama,Selma,"1600 block of Maple Street",1,0,N/A
272398,"December 31, 2015",Illinois,"Bunker Hill","3000 block of Edwardsville St",1,0,N/A
476482,"December 31, 2015",Maryland,Baltimore,"North Poppleton Street",1,0,N/A
475982,"December 31, 2015",Florida,"Daytona Beach","309 Pearl St",2,1,N/A
476023,"December 31, 2015",Pennsylvania,Philadelphia,"3100 block of N 25th St",1,0,N/A
757693,"December 31, 2015",Louisiana,Ragley,"Papania Rd",1,0,N/A
476230,"December 31, 2015",Nevada,"Las Vegas","8300 block of Gilded Crown Ct",1,0,N/A
476343,"December 31, 2015","New York",Jamaica,"109th Ave and Merrick Blvd",1,0,N/A
476430,"December 31, 2015",Ohio,"Port Clinton",OH-2,1,0,N/A
476012,"December 31, 2015",Arizona,Chandler,"Loop 101 and Chandler Boulevard",1,0,N/A
481372,"December 31, 2015",Florida,"Hollywood (West Park)","5800 block of SW 27th St",1,0,N/A
476927,"December 31, 2015",Louisiana,"New Orleans","9700 block of Lake Forest Boulevard",1,0,N/A
476345,"December 31, 2015",Texas,Houston,"500 block of Gammon",1,0,N/A
476338,"December 31, 2015",California,"Los Angeles","2200 block of Batson Avenue",4,0,N/A
